Kategori,Nama,Jenis/Ukuran,Jumlah,Satuan,,,,,,,
Alat Ukur,Sigmat ,15,1,Buah,,,,,,,
Alat Ukur,Sigmat ,20,1,Buah,,,,,,,
Alat Ukur,Sigmat Digital,,1,Buah,,,,,,,
Alat Ukur,Mikrometer,25-50mm,1,Buah,,,,,,,
Alat Ukur,Dial Defleksi Meter,,1,Buah,,,,,,,
Alat Ukur,Outset,400-600mm,1,Buah,,,,,,,
Alat Ukur,Inset,Inci,1,Buah,,,,,,,
Alat Ukur,Dial Magnet,,1,Buah,,,,,,,
Kunci,Pas Ring,10mm,4,Buah,,,,,,,
Kunci,Pas Ring,11mm,3,Buah,,,,,,,
Kunci,Pas Ring,12mm,4,Buah,,,,,,,
Kunci,Pas Ring,13mm,4,Buah,,,,,,,
Kunci,Pas Ring,14mm,3,Buah,,,,,,,
Kunci,Pas Ring,15mm,4,Buah,,,,,,,
Kunci,Pas Ring,16mm,2,Buah,,,,,,,
Kunci,Pas Ring,17mm,4,Buah,,,,,,,
Kunci,Pas Ring,19mm,5,Buah,,,,,,,
Kunci,Pas Ring,21mm,3,Buah,,,,,,,
Kunci,Pas Ring,22mm,8,Buah,,,,,,,
Kunci,Pas Ring,24mm,8,Buah,,,,,,,
Kunci,Pas Ring,27mm,4,Buah,,,,,,,
Kunci,Pas Ring,28mm,2,Buah,,,,,,,
Kunci,Pas Ring,30mm,3,Buah,,,,,,,
Kunci,Pas Ring,32mm,3,Buah,,,,,,,
Kunci,Pas Ring,34mm,1,Buah,,,,,,,
Kunci,Pas Ring,36mm,3,Buah,,,,,,,
Kunci,Pas Ring,41mm,1,Buah,,,,,,,
Kunci,Kunci Pipa,,4,Buah,,,,,,,
Kunci,Tang Buaya,,3,Buah,,,,,,,
Lainnya,Terpal,,1,Buah,,,,,,,
Proteksi,Helm Las,,3,Buah,,,,,,,
Proteksi,Helm Gerinda,,3,Buah,,,,,,,
Special Tool,Jack SWD,,2,Set,,,,,,,
Special Tool,Jack Sulzer,,2,Set,,,,,,,
Special Tool,Jack RAM ,,2,Pasang,,,,,,,
Special Tool,Kunci Pukul,,17,Buah,,,,,,,
Special Tool,Welding Tools,,2,Set,,,,,,,
Special Tool,Stut Jack,,25,Buah,,,,,,,
Special Tool,Jack Man Bearing,,2,Pasang,,,,,,,
Special Tool,Tool Ring Piston,,3,Buah,,,,,,,
Special Tool,Tool Baut Tanam,,19,Buah,,,,,,,
Special Tool,Filter Motti,,3,Buah,,,,,,,
Special Tool,Tongkang Tools,,6,Buah,,,,,,,
Special Tool,Pompa Greace,,7,Buah,,,,,,,
Special Tool,Tool Sparator,,1,Set,,,,,,,
Special Tool,Mur Cyl Head,,7,Buah,,,,,,,
Special Tool,Mata Bor,,1,Set,,,,,,,
Special Tool,Bor,,2,Buah,,,,,,,
Special Tool,Grindra,,3,Buah,,,,,,,
Special Tool,Anting-Anting,,25,Buah,,,,,,,
Special Tool,Tracker,,3,Buah,,,,,,,
Special Tool,Palu,,3,Buah,,,,,,,
Special Tool,Pahat,,3,Buah,,,,,,,
Special Tool,Spit Cat,,2,Set,,,,,,,
Special Tool,Takel,3 Ton,2,Buah,,,,,,,
Special Tool,ST MESIN M.A.N,,1,SET,,,,,,,
Special Tool,ST SULZER PENAHAN CAP,,1,SET,,,,,,,
Special Tool,ST SULZER SKIR INJECTOR,,1,SET,,,,,,,
Special Tool,ST SULZER PENAHAN PISTON,,1,SET,,,,,,,
Special Tool,ST SULZER SKIR VALVE SEAT,,2,SET,,,,,,,
Special Tool,ST SULZER SPRING VALVE,,2,SET,,,,,,,
Special Tool,ST SULZER BOLD CAP MAIN BEARING,,3,SET,,,,,,,
Special Tool,ST SULZER MELEPAS INJECTOR,,1,SET,,,,,,,
Special Tool,ST SULZER MELEPAS PISTON,,1,SET,,,,,,,
Special Tool,ST SULZER ROCKER GEAR,,1,SET,,,,,,,
Special Tool,ST SULZER INJECTION PUMP,,2,SET,,,,,,,
Special Tool,ST SULZER SKIR VALVE,,5,SET,,,,,,,
Special Tool,ST SULZER MELEPAS VALVE SEAT,,1,SET,,,,,,,
Special Tool,ST SULZER MELEPAS LINER,,1,SET,,,,,,,
Special Tool,ST SULZER FICTOR MOTTY,,1,SET,,,,,,,
Special Tool,ST SULZER SKIR LINER,,1,SET,,,,,,,
