kode,nama,kategori,satuan,deskripsi
ALA-001,Sigmat 15,alat ukur,buah,
ALA-002,Sigmat 20,alat ukur,buah,
ALA-003,Sigmat Digital,alat ukur,buah,
ALA-004,Mikrometer 25-50mm,alat ukur,buah,
ALA-005,Dial Defleksi Meter,alat ukur,buah,
ALA-006,Outset 400-600mm,alat ukur,buah,
ALA-007,Inset Inci,alat ukur,buah,
ALA-008,Dial Magnet,alat ukur,buah,
KUN-001,Pas Ring 10mm,kunci,buah,
KUN-002,Pas Ring 11mm,kunci,buah,
KUN-003,Pas Ring 12mm,kunci,buah,
KUN-004,Pas Ring 13mm,kunci,buah,
KUN-005,Pas Ring 14mm,kunci,buah,
KUN-006,Pas Ring 15mm,kunci,buah,
KUN-007,Pas Ring 16mm,kunci,buah,
KUN-008,Pas Ring 17mm,kunci,buah,
KUN-009,Pas Ring 19mm,kunci,buah,
KUN-010,Pas Ring 21mm,kunci,buah,
KUN-011,Pas Ring 22mm,kunci,buah,
KUN-012,Pas Ring 24mm,kunci,buah,
KUN-013,Pas Ring 27mm,kunci,buah,
KUN-014,Pas Ring 28mm,kunci,buah,
KUN-015,Pas Ring 30mm,kunci,buah,
KUN-016,Pas Ring 32mm,kunci,buah,
KUN-017,Pas Ring 34mm,kunci,buah,
KUN-018,Pas Ring 36mm,kunci,buah,
KUN-019,Pas Ring 41mm,kunci,buah,
KUN-020,Kunci Pipa,kunci,buah,
KUN-021,Tang Buaya,kunci,buah,
LAI-001,Terpal,lainnya,buah,
PRO-001,Helm Las,proteksi,buah,
PRO-002,Helm Gerinda,proteksi,buah,
SPE-001,Jack SWD,special tool,set,
SPE-002,Jack Sulzer,special tool,set,
SPE-003,Jack RAM,special tool,pasang,
SPE-004,Kunci Pukul,special tool,buah,
SPE-005,Welding Tools,special tool,set,
SPE-006,Stut Jack,special tool,buah,
SPE-007,Jack Man Bearing,special tool,pasang,
SPE-008,Tool Ring Piston,special tool,buah,
SPE-009,Tool Baut Tanam,special tool,buah,
SPE-010,Filter Motti,special tool,buah,
SPE-011,Tongkang Tools,special tool,buah,
SPE-012,Pompa Greace,special tool,buah,
SPE-013,Tool Sparator,special tool,set,
SPE-014,Mur Cyl Head,special tool,buah,
SPE-015,Mata Bor,special tool,set,
SPE-016,Bor,special tool,buah,
SPE-017,Grindra,special tool,buah,
SPE-018,Anting-Anting,special tool,buah,
SPE-019,Tracker,special tool,buah,
SPE-020,Palu,special tool,buah,
SPE-021,Pahat,special tool,buah,
SPE-022,Spit Cat,special tool,set,
SPE-023,Takel 3 Ton,special tool,buah,
SPE-024,ST MESIN M.A.N,special tool,set,
SPE-025,ST SULZER PENAHAN CAP,special tool,set,
SPE-026,ST SULZER SKIR INJECTOR,special tool,set,
SPE-027,ST SULZER PENAHAN PISTON,special tool,set,
SPE-028,ST SULZER SKIR VALVE SEAT,special tool,set,
SPE-029,ST SULZER SPRING VALVE,special tool,set,
SPE-030,ST SULZER BOLD CAP MAIN BEARING,special tool,set,
SPE-031,ST SULZER MELEPAS INJECTOR,special tool,set,
SPE-032,ST SULZER MELEPAS PISTON,special tool,set,
SPE-033,ST SULZER ROCKER GEAR,special tool,set,
SPE-034,ST SULZER INJECTION PUMP,special tool,set,
SPE-035,ST SULZER SKIR VALVE,special tool,set,
SPE-036,ST SULZER MELEPAS VALVE SEAT,special tool,set,
SPE-037,ST SULZER MELEPAS LINER,special tool,set,
SPE-038,ST SULZER FICTOR MOTTY,special tool,set,
SPE-039,ST SULZER SKIR LINER,special tool,set,
SPE-040,ST SULZER PEMASANGAN PISTON,special tool,set,
SPE-041,ST SULZER UJI KEBOCORAN CYL HEAD,special tool,set,
SPE-042,ST SULZER SKIR CYL HEAD,special tool,set,
SPE-043,ST SULZER MELEPAS CYL HEAD,special tool,set,
SPE-044,ST SULZER CAP CRANKPIN BEARING,special tool,set,
SPE-045,ST SULZER TURBOCHARGER,special tool,set,
SPE-046,ST SWD BRACKET CAP MAIN BEARING,special tool,set,
SPE-047,ST SWD MELEPAS HOUSING VALVE,special tool,set,
SPE-048,ST SWD ROCKER ARM,special tool,set,
SPE-049,ST SWD SHAFT ROCKER ARM,special tool,set,
SPE-050,ST SWD MELEPAS PISTON,special tool,set,
SPE-051,ST SWD CAM SHAFT,special tool,set,
SPE-052,ST SWD MELEPAS INJECTOR,special tool,set,
SPE-053,ST SWD VALVE SEAT,special tool,set,
SPE-054,ST SWD STUD BOLD CYL HEAD,special tool,set,
SPE-055,ST SWD SKIR VALVE,special tool,set,
SPE-056,ST SWD INJECTOR,special tool,set,
SPE-057,ST SWD SKIR HOUSING VALVE,special tool,set,
SPE-058,ST SWD MELEPAS CYL HEAD,special tool,set,
SPE-059,ST SWD MELEPAS LINER,special tool,set,
SPE-060,ST SWD HYDRAULIC JACK HOUSING VALVE,special tool,set,
SPE-061,ST SWD SKIR LANDING HOUSING VALVE,special tool,set,
SPE-062,ST SWD PEMASANGAN PISTON,special tool,set,
SPE-063,ST SWD SKIR LINER,special tool,set,
SPE-064,ST SWD SKIR CYL HEAD,special tool,set,
TOO-001,Gagang Shok,tools,set,
TOO-002,Pas Ring,tools,set,
