kategori,nama,satuan,jumlah
alat ukur,Dial Defleksi Meter,buah,1
alat ukur,Dial Magnet,buah,1
alat ukur,Inset Inci,buah,1
alat ukur,Mikrometer 25-50mm,buah,1
alat ukur,Outset 400-600mm,buah,1
alat ukur,Sigmat 15,buah,1
alat ukur,Sigmat 20,buah,1
alat ukur,Sigmat Digital,buah,1
kunci,Kunci Pipa,buah,4
kunci,Pas Ring 10mm,buah,4
kunci,Pas Ring 11mm,buah,3
kunci,Pas Ring 12mm,buah,4
kunci,Pas Ring 13mm,buah,4
kunci,Pas Ring 14mm,buah,3
kunci,Pas Ring 15mm,buah,4
kunci,Pas Ring 16mm,buah,2
kunci,Pas Ring 17mm,buah,4
kunci,Pas Ring 19mm,buah,5
kunci,Pas Ring 21mm,buah,3
kunci,Pas Ring 22mm,buah,8
kunci,Pas Ring 24mm,buah,8
kunci,Pas Ring 27mm,buah,4
kunci,Pas Ring 28mm,buah,2
kunci,Pas Ring 30mm,buah,3
kunci,Pas Ring 32mm,buah,3
kunci,Pas Ring 34mm,buah,1
kunci,Pas Ring 36mm,buah,3
kunci,Pas Ring 41mm,buah,1
kunci,Tang Buaya,buah,3
lainnya,Terpal,buah,1
proteksi,Helm Gerinda,buah,3
proteksi,Helm Las,buah,3
special tool,Anting-Anting,buah,25
special tool,Bor,buah,2
special tool,Filter Motti,buah,3
special tool,Grindra,buah,3
special tool,Jack Man Bearing,pasang,2
special tool,Jack RAM,pasang,2
special tool,Jack SWD,set,2
special tool,Jack Sulzer,set,2
special tool,Kunci Pukul,buah,17
special tool,Mata Bor,set,1
special tool,Mur Cyl Head,buah,7
special tool,Pahat,buah,3
special tool,Palu,buah,3
special tool,Pompa Greace,buah,7
special tool,ST MESIN M.A.N,set,2
special tool,ST SULZER BOLD CAP MAIN BEARING,set,3
special tool,ST SULZER CAP CRANKPIN BEARING,set,3
special tool,ST SULZER FICTOR MOTTY,set,1
special tool,ST SULZER INJECTION PUMP,set,2
special tool,ST SULZER MELEPAS CYL HEAD,set,2
special tool,ST SULZER MELEPAS INJECTOR,set,1
special tool,ST SULZER MELEPAS LINER,set,1
special tool,ST SULZER MELEPAS PISTON,set,1
special tool,ST SULZER MELEPAS VALVE SEAT,set,1
special tool,ST SULZER PEMASANGAN PISTON,set,1
special tool,ST SULZER PENAHAN CAP,set,1
special tool,ST SULZER PENAHAN PISTON,set,1
special tool,ST SULZER ROCKER GEAR,set,1
special tool,ST SULZER SKIR CYL HEAD,set,2
special tool,ST SULZER SKIR INJECTOR,set,1
special tool,ST SULZER SKIR LINER,set,1
special tool,ST SULZER SKIR VALVE,set,5
special tool,ST SULZER SKIR VALVE SEAT,set,2
special tool,ST SULZER SPRING VALVE,set,2
special tool,ST SULZER TURBOCHARGER,set,1
special tool,ST SULZER UJI KEBOCORAN CYL HEAD,set,1
special tool,ST SWD BRACKET CAP MAIN BEARING,set,4
special tool,ST SWD CAM SHAFT,set,1
special tool,ST SWD HYDRAULIC JACK HOUSING VALVE,set,1
special tool,ST SWD INJECTOR,set,1
special tool,ST SWD MELEPAS CYL HEAD,set,1
special tool,ST SWD MELEPAS HOUSING VALVE,set,2
special tool,ST SWD MELEPAS INJECTOR,set,1
special tool,ST SWD MELEPAS LINER,set,1
special tool,ST SWD MELEPAS PISTON,set,1
special tool,ST SWD PEMASANGAN PISTON,set,1
special tool,ST SWD ROCKER ARM,set,1
special tool,ST SWD SHAFT ROCKER ARM,set,1
special tool,ST SWD SKIR CYL HEAD,set,1
special tool,ST SWD SKIR HOUSING VALVE,set,1
special tool,ST SWD SKIR LANDING HOUSING VALVE,set,1
special tool,ST SWD SKIR LINER,set,1
special tool,ST SWD SKIR VALVE,set,1
special tool,ST SWD STUD BOLD CYL HEAD,set,1
special tool,ST SWD VALVE SEAT,set,1
special tool,Spit Cat,set,2
special tool,Stut Jack,buah,25
special tool,Takel 3 Ton,buah,2
special tool,Tongkang Tools,buah,6
special tool,Tool Baut Tanam,buah,19
special tool,Tool Ring Piston,buah,3
special tool,Tool Sparator,set,1
special tool,Tracker,buah,3
special tool,Welding Tools,set,2
tools,Gagang Shok,set,1
tools,Pas Ring,set,1
